continent,location,date,population,new_vaccinations,rolling_vaccinations
Africa,Algeria,15/5/2020,43851043,,0
Africa,Algeria,16/5/2020,43851043,,0
Africa,Algeria,17/5/2020,43851043,,0
Africa,Algeria,18/5/2020,43851043,,0
Africa,Algeria,19/5/2020,43851043,,0
Africa,Algeria,20/5/2020,43851043,,0
Africa,Algeria,21/5/2020,43851043,,0
Africa,Algeria,22/5/2020,43851043,,0
Africa,Algeria,23/5/2020,43851043,,0
Africa,Algeria,24/5/2020,43851043,,0
Africa,Algeria,25/5/2020,43851043,,0
Africa,Algeria,26/5/2020,43851043,,0
Africa,Algeria,27/5/2020,43851043,,0
Africa,Algeria,28/5/2020,43851043,,0
Africa,Algeria,29/5/2020,43851043,,0
Africa,Algeria,30/5/2020,43851043,,0
Africa,Algeria,31/5/2020,43851043,,0
Africa,Algeria,1/6/2020,43851043,,0
Africa,Algeria,2/6/2020,43851043,,0
Africa,Algeria,3/6/2020,43851043,,0
Africa,Algeria,4/6/2020,43851043,,0
Africa,Algeria,5/6/2020,43851043,,0
Africa,Algeria,6/6/2020,43851043,,0
Africa,Algeria,7/6/2020,43851043,,0
Africa,Algeria,8/6/2020,43851043,,0
Africa,Algeria,9/6/2020,43851043,,0
Africa,Algeria,10/6/2020,43851043,,0
Africa,Algeria,11/6/2020,43851043,,0
Africa,Algeria,12/6/2020,43851043,,0
Africa,Algeria,13/6/2020,43851043,,0
Africa,Algeria,14/6/2020,43851043,,0
Africa,Algeria,15/6/2020,43851043,,0
Africa,Algeria,16/6/2020,43851043,,0
Africa,Algeria,17/6/2020,43851043,,0
Africa,Algeria,18/6/2020,43851043,,0
Africa,Algeria,19/6/2020,43851043,,0
Africa,Algeria,20/6/2020,43851043,,0
Africa,Algeria,21/6/2020,43851043,,0
Africa,Algeria,22/6/2020,43851043,,0
Africa,Algeria,23/6/2020,43851043,,0
Africa,Algeria,24/6/2020,43851043,,0
Africa,Algeria,25/6/2020,43851043,,0
Africa,Algeria,26/6/2020,43851043,,0
Africa,Algeria,27/6/2020,43851043,,0
Africa,Algeria,28/6/2020,43851043,,0
Africa,Algeria,29/6/2020,43851043,,0
Africa,Algeria,30/6/2020,43851043,,0
Africa,Algeria,1/7/2020,43851043,,0
